title,author,genre,year,description
"To Kill a Mockingbird","Harper Lee","Fiction",1960,"The story of young Scout Finch and her father Atticus, a lawyer who defends a Black man accused of a terrible crime in a small Alabama town. A classic exploration of race, justice, and growing up in the American South during the 1930s."
"1984","George Orwell","Dystopian Fiction",1949,"Set in a totalitarian society ruled by Big Brother and the Party, this novel follows Winston Smith as he rebels against the oppressive regime. Known for introducing concepts like thoughtcrime, doublethink, and the Thought Police."
"The Great Gatsby","F. Scott Fitzgerald","Fiction",1925,"Set in the Jazz Age on Long Island, the novel depicts the mysterious millionaire Jay Gatsby and his obsession with the beautiful Daisy Buchanan. A critique of the American Dream and the excess of the Roaring Twenties."
"Pride and Prejudice","Jane Austen","Romance",1813,"The story follows Elizabeth Bennet as she deals with issues of manners, upbringing, morality, and marriage in the society of the landed gentry of the British Regency. Famous for the relationship between Elizabeth and Mr. Darcy."
"The Hobbit","J.R.R. Tolkien","Fantasy",1937,"Bilbo Baggins, a hobbit who enjoys a comfortable life, is swept into an epic quest to reclaim the lost Dwarf Kingdom of Erebor from the fearsome dragon Smaug. The prelude to The Lord of the Rings."
"Harry Potter and the Philosopher's Stone","J.K. Rowling","Fantasy",1997,"The first novel in the Harry Potter series, it follows Harry Potter, a young wizard who discovers his magical heritage on his eleventh birthday, when he receives a letter of acceptance to Hogwarts School of Witchcraft and Wizardry."
"The Catcher in the Rye","J.D. Salinger","Fiction",1951,"The story of Holden Caulfield, a teenage boy who has been expelled from prep school and wanders New York City. Known for its themes of teenage angst, alienation, and rebellion against adult society."
"The Lord of the Rings","J.R.R. Tolkien","Fantasy",1954,"An epic high-fantasy novel that follows hobbit Frodo Baggins as he and the Fellowship embark on a quest to destroy the One Ring, to ensure the destruction of its maker, the Dark Lord Sauron."
"Brave New World","Aldous Huxley","Dystopian Fiction",1932,"Set in a futuristic World State, where citizens are engineered and conditioned to serve society. The novel anticipates developments in reproductive technology, sleep-learning, and psychological manipulation."
"The Alchemist","Paulo Coelho","Fiction",1988,"A philosophical novel about a young Andalusian shepherd named Santiago who travels to Egypt after having a recurring dream of finding treasure there. An international bestseller about following one's dreams."
"Moby Dick","Herman Melville","Adventure",1851,"The story of Captain Ahab's quest for revenge against Moby Dick, the white whale that bit off his leg. Considered a masterpiece of American literature and contains famous opening line 'Call me Ishmael.'"
"The Hunger Games","Suzanne Collins","Dystopian Fiction",2008,"In a dystopian future North America, teenagers from each of 12 districts are forced to participate in the Hunger Games, a televised fight to the death. Follows Katniss Everdeen who volunteers to save her sister."
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","C.S. Lewis","Fantasy",1950,"Four siblings discover a magical wardrobe that leads to the land of Narnia, where they help the lion Aslan defeat the White Witch. Contains Christian themes and allegories."
"Frankenstein","Mary Shelley","Gothic Fiction",1818,"Tells the story of Victor Frankenstein, a young scientist who creates a sapient creature in an unorthodox scientific experiment. Often considered the first true science fiction story."
"Dune","Frank Herbert","Science Fiction",1965,"Set in the distant future amidst a feudal interstellar society, it tells the story of young Paul Atreides, whose family accepts the stewardship of the desert planet Arrakis, the only source of the most valuable substance in the universe."
"The Odyssey","Homer","Epic Poetry",800,"An ancient Greek epic poem attributed to Homer, describing Odysseus's journey home after the fall of Troy. Contains famous episodes such as the encounter with the Cyclops and the Sirens."
"Crime and Punishment","Fyodor Dostoevsky","Psychological Fiction",1866,"The story of Rodion Raskolnikov, an impoverished ex-student in Saint Petersburg who formulates a plan to kill an unscrupulous pawnbroker. A psychological account of a crime and its aftermath."
"Jane Eyre","Charlotte Brontë","Gothic Fiction",1847,"The story of orphaned Jane Eyre and her employment as a governess at Thornfield Hall, where she falls in love with the mysterious Edward Rochester. Themes include classism, sexuality, religion, and feminism."
"The Picture of Dorian Gray","Oscar Wilde","Gothic Fiction",1890,"The story of a beautiful young man who sells his soul so that his portrait ages rather than him. As he descends into a life of depravity, his portrait serves as a reminder of the effect his actions have upon his soul."
"Wuthering Heights","Emily Brontë","Gothic Fiction",1847,"A tale of the passionate love between Catherine Earnshaw and Heathcliff, a foundling adopted by Catherine's father. Considered a classic of English literature, with themes of revenge and the supernatural."
